Geo,Policy,PolStart,PolEnd,SourceStart,SourceEnd
Austria,1,11-Mar-20,,https://www.schengenvisainfo.com/news/austria-bans-italians-from-entering-due-to-coronavirus/,
Austria,2,11-Mar-20,14-Apr-20,https://www.schengenvisainfo.com/news/austria-bans-italians-from-entering-due-to-coronavirus/,https://www.foxnews.com/world/coronavirus-lockdown-which-european-countries-easing-restrictions
Austria,4,16-Mar-20,,https://www.kleinezeitung.at/politik/5783037/Coronavirus_Stufenweise-ab-Montag_Oesterreich-schliesst-Schulen,
Austria,5,17-Mar-20,14-Apr-20,https://www.reuters.com/article/us-health-coronavirus-austria/austria-imposes-major-restrictions-on-movement-over-coronavirus-idUSKBN2120D8,https://www.foxnews.com/world/coronavirus-lockdown-which-european-countries-easing-restrictions
Austria,7,15-Mar-20,,,
Austria,8,15-Mar-20,,https://www.kleinezeitung.at/politik/5783037/Coronavirus_Stufenweise-ab-Montag_Oesterreich-schliesst-Schulen,
Belgium,1,10-Mar-20,,https://www.zorg-en-gezondheid.be/versterkte-fase-2,
Belgium,2,17-Mar-20,,https://www.vrt.be/vrtnws/nl/2020/03/17/liveblog-17-maart/,
Belgium,3,03-Apr-20,,https://www.brusselstimes.com/all-news/belgium-all-news/104887/coronavirus-icus-nearing-maximum-intake-capacity-in-limburg-province/,
Belgium,4,13-Mar-20,18-May-20,https://www.aa.com.tr/en/europe/belgium-portugal-to-shut-schools-over-coronavirus/1764338,https://www.foxnews.com/world/coronavirus-lockdown-which-european-countries-easing-restrictions
Belgium,5,13-Mar-20,04-May-20,https://www.zorg-en-gezondheid.be/versterkte-fase-2,https://www.breakingnews.ie/world/gradual-lockdown-easing-begins-in-some-countries-996082.html
Belgium,7,10-Mar-20,,https://www.standaard.be/cnt/dmf20200310_04884455,
Belgium,8,17-Mar-20,,https://www.vrt.be/vrtnws/nl/2020/03/17/liveblog-17-maart/,
France,1,08-Mar-20,,https://www.france24.com/en/20200308-france-bans-gatherings-of-more-than-1-000-people-to-contain-coronavirus,
France,2,16-Mar-20,,https://www.independent.co.uk/news/world/europe/coronavirus-france-lockdown-cases-update-covid-19-macron-a9405136.html,
France,3,24-Mar-20,,https://www.santepubliquefrance.fr/recherche/#search=COVID-19%20:%20point%20epidemiologique&sort=date,
France,4,16-Mar-20,11-May-20,https://www.bbc.com/news/world-europe-51892477,
France,5,14-Mar-20,11-May-20,https://www.bbc.com/news/world-europe-51892477,
France,6,13-Mar-20,,https://www.lfp.fr/Articles/COMMUNIQU%C3%89S/2020/03/13/communique-de-la-lfp,
France,7,16-Mar-20,,,
France,8,16-Mar-20,,https://www.independent.co.uk/news/world/europe/coronavirus-france-lockdown-cases-update-covid-19-macron-a9405136.html,
France,9,23-Mar-20,,https://www.gov.uk/government/news/french-personal-travel-waiver-certificate,
Germany,1,10-Mar-20,,https://www.del.org/news/deutsche-eishockey-liga-beendet-saison-vorzeitig/11283,
Germany,2,28-Feb-20,,https://www.reuters.com/article/us-china-health-lufthansa-idUSKCN20M2U7,
Germany,3,15-Jan-20,,https://www.nytimes.com/2020/04/04/world/europe/germany-coronavirus-death-rate.html,
Germany,4,13-Mar-20,04-May-20,https://www.zeit.de/news/2020-03/13/bayern-schliesst-alle-schulen-wegen-coronavirus-krise,https://www.forbes.com/sites/lisettevoytko/2020/04/14/here-are-the-countries-starting-to-ease-lockdowns-amid-the-coronavirus-pandemic/#66e61fe4634c
Germany,5,17-Mar-20,20-Apr-20,"https://www.br.de/nachrichten/bayern/katastrophenfall-in-bayern-diese-regeln-gelten-ab-sofort,RtNxMZq",https://www.theguardian.com/world/2020/apr/19/israel-and-south-korea-to-ease-coronavirus-lockdowns
Germany,6,17-Mar-20,,"https://www.br.de/nachrichten/bayern/katastrophenfall-in-bayern-diese-regeln-gelten-ab-sofort,RtNxMZq",
Germany,7,16-Mar-20,,https://www.france24.com/en/20200317-merkel-announces-strict-measures-and-tells-germans-to-stay-home-in-virus-fight,
Germany,8,20-Mar-20,,https://www.thelocal.de/20200320/bavaria-becomes-first-german-state-to-impose-lockdown,
Italy,1,04-Mar-20,,https://www.football-italia.net/150823/official-behind-closed-doors-until-april-3,https://www.cnbc.com/2020/04/21/italy-set-to-ease-coronavirus-lockdown-beginning-may-4-prime-minister-conte-says.html
Italy,2,31-Jan-20,04-May-20,https://www.forbes.com/sites/davekeating/2020/03/12/italy-banned-flights-from-china-before-americait-didnt-work/#68db6dbd481b,https://www.cnbc.com/2020/04/21/italy-set-to-ease-coronavirus-lockdown-beginning-may-4-prime-minister-conte-says.html
Italy,4,04-Mar-20,,https://www.corriere.it/scuola/20_marzo_04/coronavirus-scuole-chiuse-tutta-italia-decisione-governo-entro-stasera-e7ba0614-5e12-11ea-8e26-25d9a5210d01.shtml,
Italy,5,09-Mar-20,04-May-20,https://www.nytimes.com/2020/03/07/world/europe/coronavirus-italy.html,https://www.cnbc.com/2020/04/21/italy-set-to-ease-coronavirus-lockdown-beginning-may-4-prime-minister-conte-says.html
Italy,6,09-Mar-20,,https://www.nytimes.com/2020/03/07/world/europe/coronavirus-italy.html,
Italy,7,09-Mar-20,,,
Italy,8,09-Mar-20,,https://www.nytimes.com/2020/03/07/world/europe/coronavirus-italy.html,
Italy,9,12-Mar-20,,https://www.aljazeera.com/news/2020/03/italy-punishment-time-coronavirus-200312171128553.html,
Netherlands,1,12-Mar-20,,https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html,
Netherlands,2,13-Mar-20,,https://www.nu.nl/coronavirus/6037229/kabinet-schrapt-vluchten-uit-china-italie-iran-en-zuid-korea.html,
Netherlands,4,16-Mar-20,11-May-20,https://www.politico.eu/article/coronavirus-netherlands-closes-schools-bars/,https://www.dailymail.co.uk/news/article-8244211/France-Holland-latest-nations-open-schools.html
Netherlands,5,16-Mar-20,,https://www.politico.eu/article/coronavirus-netherlands-closes-schools-bars/,
Netherlands,7,12-Mar-20,,https://nos.nl/liveblog/2326799-persconferentie-rutte-na-crisisoverleg-111-nieuwe-patienten-in-nederland.html,
Norway,1,12-Mar-20,,,
Norway,2,12-Mar-20,,https://www.nrk.no/norge/koronaviruset-1.14874108,
Norway,4,12-Mar-20,20-Apr-20,https://www.nrk.no/norge/koronaviruset-1.14874108,https://www.weforum.org/agenda/2020/04/these-european-countries-are-starting-to-end-their-lockdowns/
Norway,5,12-Mar-20,30-Apr-20,https://www.nrk.no/norge/koronaviruset-1.14874108,https://www.foxnews.com/world/coronavirus-lockdown-which-european-countries-easing-restrictions
Norway,6,12-Mar-20,,https://www.nrk.no/norge/koronaviruset-1.14874108,
Norway,7,12-Mar-20,,,
Norway,8,12-Mar-20,,https://www.nrk.no/norge/koronaviruset-1.14874108,
Portugal,1,12-Mar-20,,https://expresso.pt/coronavirus/2020-03-13-Covid-19.-Estado-de-alerta-ate-pelo-menos-9-de-abril,
Portugal,2,20-Mar-20,,https://whbl.com/news/articles/2020/mar/20/portugal-set-to-quarantine-arrivals-from-abroad-as-streets-empty-out/997239/,
Portugal,4,12-Mar-20,,https://www.usnews.com/news/world/articles/2020-03-12/portugal-orders-schools-night-clubs-shut-due-to-coronavirus,
Portugal,5,13-Mar-20,,https://expresso.pt/coronavirus/2020-03-13-Covid-19.-Estado-de-alerta-ate-pelo-menos-9-de-abril,
Portugal,7,12-Mar-20,,https://www.forbes.com/sites/annabel/2020/03/19/coronavirus-update-from-portugal-a-state-of-emergency-is-declared/#5902b1ba151d,
Spain,1,14-Mar-20,,,
Spain,2,10-Mar-20,,https://www.elespanol.com/invertia/empresas/20200310/espana-prohibe-vuelos-directos-italia-marzo/473703280_0.html,
Spain,4,09-Mar-20,,https://www.comunidad.madrid/noticias/2020/03/09/comunidad-madrid-aprueba-medidas-extraordinarias-coronavirus,
Spain,5,14-Mar-20,13-Apr-20,https://www.rte.ie/news/coronavirus/2020/0314/1123226-coronavirus-world/,https://www.forbes.com/sites/lisettevoytko/2020/04/14/here-are-the-countries-starting-to-ease-lockdowns-amid-the-coronavirus-pandemic/#66e61fe4634c
Spain,6,14-Mar-20,,https://www.bbc.com/news/world-europe-51892477,
Spain,7,14-Mar-20,,,
Spain,8,14-Mar-20,,https://www.rte.ie/news/coronavirus/2020/0314/1123226-coronavirus-world/,
Spain,9,28-Mar-20,,https://www.reuters.com/article/us-health-coronavirus-spain/spanish-pm-announces-stricter-lockdown-measures-to-tackle-coronavirus-idUSKBN21F0NR,
Sweden,1,12-Mar-20,,https://www.svt.se/nyheter/snabbkollen/regeringen-stoppar-stora-moten,
Sweden,2,19-Mar-20,,https://www.government.se/press-releases/2020/03/temporary-ban-on-travel-to-sweden-due-to-covid-19/,
Sweden,3,04-Mar-20,,https://www.svt.se/nyheter/inrikes/nu-ska-fler-svenskar-testas-for-coronavirus,
Sweden,7,16-Mar-20,,http://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/mars/personer-over-70-bor-begransa-sociala-kontakter-tills-vidare/,
Switzerland,1,28-Feb-20,,https://www.nzz.ch/schweiz/coronavirus-in-der-schweiz-die-neusten-entwicklungen-ld.1542664,
Switzerland,2,16-Mar-20,,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,
Switzerland,4,13-Mar-20,11-May-20,https://www.lemessager.fr/6559/article/2020-03-13/coronavirus-la-suisse-ferme-aussi-ses-ecoles-et-renforce-le-controle-aux,https://www.weforum.org/agenda/2020/04/these-european-countries-are-starting-to-end-their-lockdowns/
Switzerland,5,16-Mar-20,27-Apr-20,https://www.nzz.ch/schweiz/coronavirus-in-der-schweiz-die-neusten-entwicklungen-ld.1542664,https://www.weforum.org/agenda/2020/04/these-european-countries-are-starting-to-end-their-lockdowns/
Switzerland,6,16-Mar-20,,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,
Switzerland,7,16-Mar-20,,https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov/massnahmen-des-bundes.html,
United Kingdom,1,16-Mar-20,,https://www.bbc.com/news/uk-52012432,
United Kingdom,2,20-Mar-20,,https://news.sky.com/story/coronavirus-london-shops-could-close-and-transport-restricted-by-weekend-whitehall-sources-11959814,
United Kingdom,3,13-Mar-20,,https://www.hsj.co.uk/daily-insight/daily-insight-budget-day-maths/7027096.article,
United Kingdom,4,20-Mar-20,,https://www.independent.co.uk/news/uk/home-news/coronavirus-uk-timeline-deaths-cases-covid-19-nhs-social-distancing-a9416331.html,
United Kingdom,5,20-Mar-20,,https://www.independent.co.uk/news/uk/home-news/coronavirus-uk-timeline-deaths-cases-covid-19-nhs-social-distancing-a9416331.html,
United Kingdom,6,13-Mar-20,,https://www.independent.co.uk/news/uk/home-news/coronavirus-uk-timeline-deaths-cases-covid-19-nhs-social-distancing-a9416331.html,
United Kingdom,7,16-Mar-20,,https://www.independent.co.uk/news/uk/home-news/coronavirus-uk-timeline-deaths-cases-covid-19-nhs-social-distancing-a9416331.html,
United Kingdom,8,24-Mar-20,,https://www.cnn.com/2020/03/23/uk/uk-coronavirus-lockdown-gbr-intl/index.html,
US - California,1,12-Mar-20,,https://www.latimes.com/california/story/2020-03-12/california-governor-gavin-newsom-hotels-medical-facilities-patients-meeting-requirements,
US - California,2,17-Mar-20,,https://www.latimes.com/california/story/2020-03-16/how-the-san-francisco-bay-areas-coronavirus-shelter-in-place-order-works,
US - California,3,22-Mar-20,,https://www.ksby.com/news/california-news/gov-newsom-issues-executive-order-to-expand-states-response-to-covid-19-pandemic,
US - California,4,13-Mar-20,,https://www.abc10.com/article/news/health/coronavirus/coronavirus-school-closures/103-ac14f8ac-5317-4905-91d9-f36c661a02f0,
US - California,5,17-Mar-20,,https://www.latimes.com/california/story/2020-03-16/how-the-san-francisco-bay-areas-coronavirus-shelter-in-place-order-works,
US - California,6,17-Mar-20,,https://www.parks.ca.gov/NewsRelease/943,
US - California,7,15-Mar-20,,https://www.nytimes.com/2020/03/15/us/coronavirus-newsom-california-seniors-restaurants-bars.html,
US - California,8,17-Mar-20,26-Apr-20,https://www.latimes.com/california/story/2020-03-16/how-the-san-francisco-bay-areas-coronavirus-shelter-in-place-order-works,https://thehill.com/homenews/state-watch/493717-heres-when-all-50-states-plan-to-reopen-after-coronavirus-restrictions
