Geo,Start,End
US - Washington,20/02/2020,
US - New York,01/03/2020,
US - New Jersey,01/03/2020,
US - California,20/02/2020,
US - Michigan,07/03/2020,
US - Florida,01/03/2020,
US - Massachusetts,01/03/2020,
US - Illinois,01/03/2020,
US - Louisiana,07/03/2020,
US - Pennsylvania,04/03/2020,
US - Georgia,01/03/2020,
US - Texas,01/03/2020,
Canada - Ontario,01/03/2020,
Canada - Quebec,01/03/2020,
Belgium,01/03/2020,
France,20/02/2020,
Germany,20/02/2020,
Italy,20/02/2020,
Netherlands,26/02/2020,
Portugal,01/03/2020,
Russia,01/03/2020,
Spain,20/02/2020,
Sweden,25/02/2020,
United Kingdom,25/02/2020,
Switzerland,25/02/2020,
Austria,25/02/2020,
Norway,25/02/2020,
Brazil,01/03/2020,
China - Hubei,23/01/2020,10/03/2020
