geo,population
Austria,8902600
Belgium,11431406
Brazil,210147125
United Kingdom,66435550
Chile,17574003
Denmark,5822763
France,64639133
Germany,83149300
Italy,59228911
Mexico,119530753
Netherlands,17414806
Norway,5367580
Portugal,10276617
South Africa,58775022
Spain,46733038
Sweden,10338368
Switzerland,8570146
US - Alabama,4903185
US - Alaska,731545
US - Arizona,7278717
US - Arkansas,3017825
US - California,39512223
US - Colorado,5758736
US - Connecticut,3565287
US - Delaware,973764
US - District of Columbia,705749
US - Florida,21477737
US - Georgia,10617423
US - Hawaii,1415872
US - Idaho,1787065
US - Illinois,12671821
US - Indiana,6732219
US - Iowa,3155070
US - Kansas,2913314
US - Kentucky,4467673
US - Louisiana,4648794
US - Maine,1344212
US - Maryland,6045680
US - Massachusetts,6949503
US - Michigan,9986857
US - Minnesota,5639632
US - Mississippi,2976149
US - Missouri,6137428
US - Montana,1068778
US - Nebraska,1934408
US - Nevada,3080156
US - New Hampshire,1359711
US - New Jersey,8882190
US - New Mexico,2096829
US - New York City,8398748
US - North Carolina,10488084
US - North Dakota,762062
US - Ohio,11689100
US - Oklahoma,3956971
US - Oregon,4217737
US - Pennsylvania,12801989
US - Rhode Island,1059361
US - South Carolina,5148714
US - South Dakota,884659
US - Tennessee,6833174
US - Texas,28995881
US - Utah,3205958
US - Vermont,623989
US - Virginia,8535519
US - Washington,7614893
US - West Virginia,1792147
US - Wisconsin,5822434
US - Wyoming,578759
US - New York,19453561
