geo,date,level,source
Austria,2020-07-04,2,https://www.schoolholidayseurope.eu/austria/
Austria,2020-07-11,3,https://www.schoolholidayseurope.eu/austria/
Austria,2020-09-06,2,https://www.schoolholidayseurope.eu/austria/
Austria,2020-09-13,0,https://www.schoolholidayseurope.eu/austria/
Belgium,2020-07-01,3,https://www.schoolholidayseurope.eu/school-holidays-belgium/
Belgium,2020-08-31,0,https://www.schoolholidayseurope.eu/school-holidays-belgium/
Denmark,2020-06-28,3,https://www.schoolholidayseurope.eu/school-holidays-denmark/
Denmark,2020-08-02,0,https://www.schoolholidayseurope.eu/school-holidays-denmark/
France,2020-07-06,3,https://www.schoolholidayseurope.eu/school-holidays-france/
France,2020-08-28,0,https://www.schoolholidayseurope.eu/school-holidays-france/
Germany,2020-06-22,2,https://www.schoolholidayseurope.eu/school-holidays-germany/
Germany,2020-07-30,3,https://www.schoolholidayseurope.eu/school-holidays-germany/
Germany,2020-08-01,2,https://www.schoolholidayseurope.eu/school-holidays-germany/
Germany,2020-09-12,0,https://www.schoolholidayseurope.eu/school-holidays-germany/
Italy,2020-06-08,3,https://www.schoolholidayseurope.eu/school-holidays-italy/
Italy,2020-09-17,0,https://www.schoolholidayseurope.eu/school-holidays-italy/
Netherlands,2020-07-06,2,https://www.schoolholidayseurope.eu/school-holidays-holland/
Netherlands,2020-07-20,3,https://www.schoolholidayseurope.eu/school-holidays-holland/
Netherlands,2020-08-14,2,https://www.schoolholidayseurope.eu/school-holidays-holland/
Netherlands,2020-08-28,0,https://www.schoolholidayseurope.eu/school-holidays-holland/
Norway,2020-06-19,3,https://www.edarabia.com/school-holidays-norway/
Norway,2020-08-20,0,https://www.edarabia.com/school-holidays-norway/
Portugal,2020-06-10,3,https://www.feiertagskalender.ch/ferien.php?geo=3516&hl=en
Portugal,2020-09-13,0,https://www.feiertagskalender.ch/ferien.php?geo=3516&hl=en
Spain,2020-06-20,3,https://www.schoolholidayseurope.eu/school-holidays-spain/
Spain,2020-09-11,0,https://www.schoolholidayseurope.eu/school-holidays-spain/
Sweden,2020-06-10,3,"https://www.takemetosweden.be/en/holidays-in-sweden/#:~:text=The%20Summer%20Holidays%20in%20Sweden,last%20until%20August%2017%2C%202020."
Sweden,2020-08-17,0,"https://www.takemetosweden.be/en/holidays-in-sweden/#:~:text=The%20Summer%20Holidays%20in%20Sweden,last%20until%20August%2017%2C%202020."
Switzerland,2020-06-22,2,https://www.schoolholidayseurope.eu/school-holidays-switzerland/
Switzerland,2020-07-13,3,https://www.schoolholidayseurope.eu/school-holidays-switzerland/
Switzerland,2020-08-07,2,https://www.schoolholidayseurope.eu/school-holidays-switzerland/
Switzerland,2020-08-28,0,https://www.schoolholidayseurope.eu/school-holidays-switzerland/
