geo,geoCode,date,polCode,polName,level,flag
Afghanistan,AFG,2020-01-01,C1,School closing,0,NA
Afghanistan,AFG,2020-03-14,C1,School closing,3,1
Afghanistan,AFG,2020-08-05,C1,School closing,2,1
Afghanistan,AFG,2020-01-01,C2,Workplace closing,0,NA
Afghanistan,AFG,2020-03-24,C2,Workplace closing,3,0
Afghanistan,AFG,2020-08-04,C2,Workplace closing,2,0
Afghanistan,AFG,2020-08-18,C2,Workplace closing,2,1
Afghanistan,AFG,2020-08-26,C2,Workplace closing,0,NA
Afghanistan,AFG,2020-01-01,C3,Cancel public events,0,NA
Afghanistan,AFG,2020-03-01,C3,Cancel public events,2,0
Afghanistan,AFG,2020-03-18,C3,Cancel public events,2,1
Afghanistan,AFG,2020-08-15,C3,Cancel public events,0,NA
Afghanistan,AFG,2020-01-01,C4,Restrictions on gatherings,0,NA
Afghanistan,AFG,2020-04-05,C4,Restrictions on gatherings,4,1
Afghanistan,AFG,2020-08-18,C4,Restrictions on gatherings,0,NA
Afghanistan,AFG,2020-01-01,C5,Close public transport,0,NA
Afghanistan,AFG,2020-03-28,C5,Close public transport,2,0
Afghanistan,AFG,2020-08-18,C5,Close public transport,2,1
Afghanistan,AFG,2020-08-26,C5,Close public transport,0,NA
Afghanistan,AFG,2020-01-01,C6,Stay at home requirements,0,NA
Afghanistan,AFG,2020-03-25,C6,Stay at home requirements,2,0
Afghanistan,AFG,2020-08-26,C6,Stay at home requirements,0,NA
Afghanistan,AFG,2020-01-01,C7,Restrictions on internal movement,0,NA
Afghanistan,AFG,2020-03-25,C7,Restrictions on internal movement,1,0
Afghanistan,AFG,2020-04-12,C7,Restrictions on internal movement,2,0
Afghanistan,AFG,2020-08-18,C7,Restrictions on internal movement,1,0
Afghanistan,AFG,2020-08-26,C7,Restrictions on internal movement,0,NA
Afghanistan,AFG,2020-01-01,C8,International travel controls,0,NA
Afghanistan,AFG,2020-02-23,C8,International travel controls,3,NA
Afghanistan,AFG,2020-06-09,C8,International travel controls,1,NA
Afghanistan,AFG,2020-01-01,H1,Public information campaigns,0,NA
Afghanistan,AFG,2020-03-01,H1,Public information campaigns,2,1
Afghanistan,AFG,2020-01-01,H2,Testing policy,0,NA
Afghanistan,AFG,2020-02-23,H2,Testing policy,1,NA
